Time,Block #,Address,Balance,Identity A,Logo A,Identity B,Logo B
2021-10-27 20:47:31,7444943,5GVsq25KXktAGcdkAyx5Z3SUNsXk7Zv8ZFRoEWJsqvdmMtin,4961408984280,100,0,0,100
2021-10-27 20:48:07,7444949,5F4D5PCmFjeufoB4F5c1mUHjSLLce8JJ5AYK4ZRGZyUE2W2y,25004032900,0,100,100,0
2021-10-27 20:48:25,7444952,5F76tCucv4HfqjdEjtsXtBUW2os5fdxEPNoyhh98MAYRgupW,22226999972,0,100,100,0
2021-10-27 20:51:05,7444977,5Fgfk4ztvZu4cujcf5nEDWWHHnV33c3DZ3g5Z2ZkXfh1L5wW,225171571347497,0,100,100,0
2021-10-27 20:51:51,7444985,5FTh6uNyHBuEiKc5Kmmz384CV3742fvkCGYDU7wMcGWnsezf,14389000000,0,100,100,0
2021-10-27 20:53:13,7444999,5HNpf9ydo2C2TFBS1frahQeNDVdG2QABGckGsBNKxPq44Mgb,1564874703854,25,75,75,25
2021-10-27 20:53:14,7444999,5HNpf9ydo2C2TFBS1frahQeNDVdG2QABGckGsBNKxPq44Mgb,1564874703854,25,75,75,25
2021-10-27 20:53:25,7445001,5ENzsgHMvAajUKhMUTK1FRJSUHL47zfRaUVgi8jEmgexeZk7,5146584659700,100,100,0,0
2021-10-27 20:53:37,7445003,5GeFDARSzb3R2Xb6kLJeLUE9K3mEnersAMc2dSD418DoeMJM,14349000000,0,100,100,0
2021-10-27 20:53:43,7445004,5GusxFoUHEH1fU6uiciKzZv25QP9MdCZ6tuJBGpPXsWyfMib,63992077044,0,100,100,0
2021-10-27 20:53:50,7445005,5DqNVn2X5Sb4V61jDU15FQqSJdYAm9ZZw3XLccQTFX9vAmFd,645018414600,0,75,100,25
2021-10-27 20:54:25,7445011,5DaDbXJD3ihWJYATJ1AGSDDvSPFeQ46jSwEDcF4fJcJS9mGW,200008359956,100,100,0,0
2021-10-27 20:54:32,7445012,5DvfgtvZYpjyuNDeJr8fP2mF7HstciCETMp8GRJTkKRjLWBf,12049000000,75,75,25,25
2021-10-27 20:54:49,7445015,5EfPa7fSRwStvbiSWqe7ybQSbgQse8693YC5EvKySkDeHkuV,963316142901,100,100,0,0
2021-10-27 20:54:57,7445016,5HpHHF6izhNbZTdwhzkGusBqzd3rhTcct47NqMQgqXWCMoXj,114589000000,100,100,0,0
2021-10-27 20:55:03,7445017,5HVtXtkZNoSDBQ7ni6XZr9h3TEimR3pu8CWGu8TM5Q8m6uxq,11892999986,75,75,25,25
2021-10-27 20:55:07,7445018,5CMNDiExxKHpFEhUA4pCSJSApuzeCM7k33uCiRAW1noC2uBz,115000000000,100,100,0,0
2021-10-27 20:55:19,7445020,5Ejevs3vjGnzVs5nkY6dMYM3ZtmMjVoyuSMYZ8p1cBrMjj7N,99089000000,75,100,25,0
2021-10-27 20:55:32,7445022,5F1VPzN26ydiLX2nXFxzFJ4YrCKxm2WJByfvG4HTcUkDke1H,463190610672665,0,100,100,0
2021-10-27 20:55:37,7445023,5F55HDBQAoyUHDXETRCpP3eDgQnc5DHKAZPabafXQ1WK7JeJ,999549000000,0,100,100,0
2021-10-27 20:56:08,7445028,5H3EkvY8hiGNqXT7FizTVLvEpDKJJKZ74mwYwz3Kg2eMDryy,11688952515,75,100,25,0
2021-10-27 20:56:19,7445030,5EXY6invtk3izdu17NVHr97trLNi1e178MYq54nCfAUeURYg,41047607235,100,75,0,25
2021-10-27 20:56:44,7445034,5H3uahCrE6L6cCN7j6KqQiHE6LBvUPEPruVxbkZNxqzaY1hw,2921759563746,0,100,100,0
2021-10-27 20:56:55,7445036,5Dvhm5z2wRoqEqn9XhK1xiBmgzhuBpE11GYgidk5biy53u8P,1395086305914,0,100,100,0
2021-10-27 20:57:44,7445044,5EcP32AXwc1WK9DakZpWcJzPcvEmyJRds77ZT5ARnaqJRdGb,49700000000,0,100,100,0
2021-10-27 20:58:15,7445049,5GsBVTWm7ZPX7eT45yLv8VzD7jztRSfNn4ChYFtQmmboMheM,546474605494349,0,100,100,0
2021-10-27 21:00:01,7445067,5CkxdSm944GNWkfoGCnrtob2yFQ727yrEAsrSNELKR6KWPaX,19716999964,75,100,25,0
2021-10-27 21:00:07,7445068,5GGtdYqW3pWGw1tHbKyoGWyPsnzUZpV9fLyDUf4cUbo1Mpku,10417399984,100,100,0,0
2021-10-27 21:01:19,7445079,5CapxLbe2TfbEpdidWuYa29ggWTJdxcgWcAAbJBsbNADWvXA,18636999970,0,0,100,100
2021-10-27 21:02:02,7445086,5FhmJd4hHG9dRc7btDJFKUmBymC7tgZQmRj9RDDj2VyEW8dW,98989000000,0,50,100,50
2021-10-27 21:02:19,7445089,5GgXVvQ7Yqt441bmkFEyMCmmtBP5DtLXBgWyySwubzQcsxWm,5148178694385,25,75,75,25
2021-10-27 21:03:09,7445096,5C7tDynQ84renzhdsneL5zdwvrLTQB32McmuzRFJyriEFKx3,8688962476364,0,100,100,0
2021-10-27 21:04:14,7445108,5GQddDDyTDgoiDaM4jT6cPJztWotSD6qpuHNBp3uPR59teRr,3001184999873,0,100,100,0
2021-10-27 21:04:25,7445109,5D2nRS23sF6FhENBG9MsvM5HXoVXJPF2miNzmxkh8j6VD4Lu,2.03836E+15,0,100,100,0
2021-10-27 21:06:25,7445130,5GT6iYHviUTE86qpxjxqsNnNDuDVJyXSp6vSffqxqkCFb2ox,3277816101671,100,100,0,0
2021-10-27 21:08:07,7445147,5DV2MqtiuYYGdt1UyBLcpHcsMeZ7Jpe2ETGobk164QgH7HpR,14103900000,100,0,0,100
2021-10-27 21:09:08,7445156,5DV2MqtiuYYGdt1UyBLcpHcsMeZ7Jpe2ETGobk164QgH7HpR,14103900000,100,0,0,100
