Address,Balance,Identity A,Logo A,Identity B,Logo B
5DLNq9MerwDQYwBDs8EexB1Z7wfenrt6YJ1BotqjzJZQBJNJ,27217999823,50,50,50,50
5DSZGMxgtB1LEASx3dzCKVjKLe1YD5FoFmjrFxUdDDrtZjcg,32303541365508,0,100,100,0
5FFJVSRDrbmPu7Fg8MzmDNLbTYcLv4NH8X6erZnEHTxZ6hFn,12694691860059,0,25,100,75
5ChcZbqpqKueQ84NMZj7A9ngtaqZUkx9PUuQQBDc5TBm448F,195628027389,25,75,75,25
5FxjhrM87PXukH7XkoC28CvhMSfMfqYLcynREGnMD6UVfiYk,19049000000,0,100,100,0
5D2fpYB55nKQCE8KvNbe3iNbyvEL5uakSWeFqLd2zT7mQGBi,200071370330455,75,0,25,100
5H1YxmBqQt3QcQvnNTenCJF4KhyHNpLh7cUfsLecxk4k5Uc7,111764055200,100,100,0,0
5ELZLi9H8E12aD5P2EjkjJyfLQGHkqUy2HZbPjdgJRXtRBun,27315784509225,25,100,75,0
5GwHUksqFDohMggzopZ3TvsqLu7m4iMLnHb93pqEuj8EbPY5,1939771135458,100,100,0,0
5E1np1ZJvFghkS7WXcnwBmPe8ttmhNKjGiu43UNzCYPSNMe2,5954351999938,100,100,0,0
5GvWN2392BaCqCSmdZJMuNfWiCj49kvqdoHoTcTL8WP9NnRc,384589000000,0,0,100,100
5GjLpzvaTGUzKJUTkiZG7xKjHeUmdNNgTEHeE5Gcn1MWcx4g,14000000000,100,100,0,0
5EviuzotpuKNftcuUMoiMBPGxppZwu2vDNWZiZiu14rpuCT6,112098464330226,100,100,0,0
5FHRo7Xxg97B8JAonbFWxhTUh6NPZSnZACgpSpueQWL71SjT,4919368415385,25,100,75,0
5GqKtu71zqsEG9rxWV7dJtmE8uN9fmXE35aEmuM2x3ATdqgK,8556574404356,25,100,75,0
5CMKBzubjPt8vcRqv4wc46gLarGv85Xr2S9AZUjiPsxt7DLY,26242239000,0,100,100,0
5E9zxi1CKVDVZEB7wNnWKGq2GD3Cav4URwtsAVFtWcK65wrw,27195398850,0,100,100,0
5CojpJ61oEPJHps6JzYTPtqRFTSUTq7euzLm2U4j8iDEyDsK,3747933696387,100,100,0,0
5EYysLWSMUtzai9Kk1SDo6xzieTtuHpKgPwJqWAr1ZUjrjYR,570416600000,0,100,100,0
5Hpa29LMYDigrmm3DmxnQo8iWssqAT27KRUwuQtzLq89Xygf,17255999800,25,50,75,50
5DUC6SgAh5KkZdjTaJJUe69u6bi5owXppUuaofQiJZBdEaPX,101232561989,0,25,100,75
5F4uM165eJ6mdQbciLJReGfynJRDy1r9etDkwbRvkgNBPLbK,3053320849393,0,100,100,0
5DptokicUVb9s4ibxdTNRExzqYbevM7MUZT3ASxyvFeKMRyC,7590954989090,100,100,0,0
5GZ2ujYB9DiKL11aN9cVpvwrKmJqmooFSVvsFsNirqbfrm76,28849999968,0,100,100,0
5HQgXEk8aKyZ4d9ZojudfjhABpEz5BHF6Awiab2y7azubw3Z,82235698085,50,50,50,50
5Fdf4YpEmzs1MYu92eCRqme1kxmXwoguUGQYLbcLTdJ8jL9v,8058621895600,0,100,100,0
5HH5hxDCsSDGqcHzk7Mou6KT5XrtU5LQ2tFrZb41pJgoLUC5,6773003761480,0,100,100,0
5GqLVB9ho3ztEbAHkH6aZD9YxFGoEsudWfW13L5YyZMjeVDu,45946997096744,100,0,0,100
5F9rB6rvsitLScXuhMDb8tLtMY9S5t5ChVLnDTXowvJtEaaL,71022744400,0,0,100,100
5GbjAVhvE9WBqYnUqfWYgoCdJPTceoY4RRViRiYU8EMu5Pja,39423287551843,75,75,25,25
5FxeQvWt1vBg3WMZRHccb5bx3tT1iZpvFvgaB9S5YCLmpzfe,112377305875,25,100,75,0
5FC8LurxEN9s4LLdhezvUWv4wCCL3WNrNQDsomBZD42DCeFy,13748300253510,100,100,0,0
5GqLoTMthpGamywwRsohJhT7Gbjb6wVZrRh2d4sXE9rmQUwM,45924324862594,50,100,50,0
5CGQa8Pk38iC7FRufq2611D3baTbGhMgAQRJy75ngarXEmZ6,16932953700,100,100,0,0
5EqcbdNsAtcCC6qDXbhEcM96Zqk6FPvTs76EggijdNd7YSLc,10041406649829,0,100,100,0
5D9yikrBeg1t6cszVCd4izawRVppMTH1Eicuu2bMTCiWytKr,34977333454262,100,100,0,0
